EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week,Opponent Division,Team Division,Divisional Matchup?,Away Team
0.94,0.636,0.0013,PIT,HOU,2.5,2020,3,AFC South,AFC North,0,0
0.93,0.622,0.0013,BAL,KC,5.0,2020,3,AFC West,AFC North,0,0
0.93,0.6679999999999999,0.0289,ARI,DET,1.5,2020,3,NFC North,NFC West,0,0
0.92,0.616,0.0013,NO,GB,3.0,2020,3,NFC North,NFC South,0,0
0.89,0.599,0.0038,SF,NYG,1.5,2020,3,NFC East,NFC West,0,1
0.88,0.5870000000000001,0.0025,TEN,MIN,2.0,2020,3,NFC North,AFC South,0,1
0.83,0.5670000000000001,0.0138,JAX,MIA,0.0,2020,3,AFC East,AFC South,0,0
0.81,0.5479999999999999,0.0138,ATL,CHI,1.0,2020,3,NFC North,NFC South,0,0
0.81,0.541,0.0013,BUF,LAR,1.5,2020,3,NFC West,AFC East,0,0
0.69,0.4589999999999999,0.0013,LAR,BUF,2.0,2020,3,AFC East,NFC West,0,1
0.69,0.452,0.0,CHI,ATL,1.0,2020,3,NFC South,NFC North,0,1
0.67,0.433,0.0,MIA,JAX,0.5,2020,3,AFC South,AFC East,0,1
0.62,0.413,0.0013,MIN,TEN,1.0,2020,3,AFC South,NFC North,0,0
0.61,0.401,0.0,NYG,SF,0.0,2020,3,NFC West,NFC East,0,0
0.58,0.384,0.0,GB,NO,3.0,2020,3,NFC South,NFC North,0,1
0.57,0.332,0.0,DET,ARI,0.0,2020,3,NFC West,NFC North,0,1
0.57,0.3779999999999999,0.0013,KC,BAL,5.0,2020,3,AFC North,AFC West,0,1
0.56,0.364,0.0,HOU,PIT,1.0,2020,3,AFC North,AFC South,0,1
0.5,0.315,0.0,CIN,PHI,0.0,2020,3,NFC East,AFC North,0,1
0.49,0.293,0.0,DEN,TB,0.0,2020,3,NFC South,AFC West,0,0
0.49,0.3229999999999999,0.0,DAL,SEA,3.0,2020,3,NFC West,NFC East,0,1
0.48,0.288,0.0,CAR,LAC,0.0,2020,3,AFC West,NFC South,0,1
0.47,0.1639999999999999,0.0,NYJ,IND,0.0,2020,3,AFC South,AFC East,0,1
0.43,0.255,0.0,WAS,CLE,0.5,2020,3,AFC North,NFC East,0,1
0.42,0.27,0.0,LV,NE,1.0,2020,3,AFC East,AFC West,0,1
1.16,0.84,0.003,KC,NE,5.0,2020,4,AFC East,AFC West,0,0
1.13,0.877,0.1691,BAL,WAS,4.0,2020,4,NFC East,AFC North,0,1
1.04,0.7659999999999999,0.0415,SF,PHI,1.0,2020,4,NFC East,NFC West,0,0
1.02,0.757,0.0757,TB,LAC,2.5,2020,4,AFC West,NFC South,0,0
1.01,0.873,0.6884,LAR,NYG,2.0,2020,4,NFC East,NFC West,0,0
0.91,0.6709999999999999,0.0089,GB,ATL,2.5,2020,4,NFC South,NFC North,0,0
0.85,0.619,0.0,IND,CHI,2.0,2020,4,NFC North,AFC South,0,1
0.85,0.653,0.003,SEA,MIA,2.5,2020,4,AFC East,NFC West,0,1
0.85,0.614,0.0015,BUF,LV,1.5,2020,4,AFC West,AFC East,0,1
0.84,0.614,0.0045,HOU,MIN,0.5,2020,4,NFC North,AFC South,0,0
0.84,0.621,0.0,DAL,CLE,2.5,2020,4,AFC North,NFC East,0,0
0.82,0.602,0.0,NO,DET,2.5,2020,4,NFC North,NFC South,0,1
0.82,0.597,0.0,ARI,CAR,1.5,2020,4,NFC South,NFC West,0,1
0.72,0.522,0.0015,NYJ,DEN,0.0,2020,4,AFC West,AFC East,0,0
0.71,0.52,0.0,CIN,JAX,0.0,2020,4,AFC South,AFC North,0,0
0.67,0.48,0.0015,JAX,CIN,0.0,2020,4,AFC North,AFC South,0,1
0.66,0.478,0.0,DEN,NYJ,0.0,2020,4,AFC East,AFC West,0,1
0.56,0.4029999999999999,0.0,CAR,ARI,0.0,2020,4,NFC West,NFC South,0,0
0.56,0.3979999999999999,0.0,DET,NO,0.5,2020,4,NFC South,NFC North,0,0
0.54,0.379,0.0,CLE,DAL,1.5,2020,4,NFC East,AFC North,0,1
0.54,0.386,0.0,MIN,HOU,0.5,2020,4,AFC South,NFC North,0,1
0.53,0.386,0.0,LV,BUF,1.0,2020,4,AFC East,AFC West,0,0
0.53,0.347,0.0,MIA,SEA,0.5,2020,4,NFC West,AFC East,0,0
0.53,0.381,0.0,CHI,IND,1.0,2020,4,AFC South,NFC North,0,0
0.47,0.3289999999999999,0.0,ATL,GB,0.5,2020,4,NFC North,NFC South,0,1
0.37,0.127,0.0,NYG,LAR,0.0,2020,4,NFC West,NFC East,0,1
0.36,0.243,0.0,LAC,TB,1.5,2020,4,NFC South,AFC West,0,1
0.33,0.2339999999999999,0.0,PHI,SF,0.5,2020,4,NFC West,NFC East,0,1
0.25,0.123,0.0015,WAS,BAL,0.5,2020,4,AFC North,NFC East,0,0
0.22,0.16,0.0125,NE,KC,1.5,2020,4,AFC West,AFC East,0,1
1.14,0.847,0.1489,BAL,CIN,3.5,2020,5,AFC North,AFC North,1,0
1.08,0.8,0.0721,KC,LV,5.0,2020,5,AFC West,AFC West,1,0
1.05,0.7659999999999999,0.2648999999999999,SF,MIA,0.5,2020,5,AFC East,NFC West,0,0
1.04,0.76,0.0564,PIT,PHI,2.5,2020,5,NFC East,AFC North,0,0
1.03,0.746,0.1207,NO,LAC,2.5,2020,5,AFC West,NFC South,0,0
1.02,0.747,0.0282,LAR,WAS,2.0,2020,5,NFC East,NFC West,0,1
0.99,0.7170000000000001,0.0501999999999999,SEA,MIN,2.5,2020,5,NFC North,NFC West,0,0
0.98,0.7070000000000001,0.0674,HOU,JAX,0.5,2020,5,AFC South,AFC South,1,0
0.96,0.727,0.1285,ARI,NYJ,1.0,2020,5,AFC East,NFC West,0,1
0.94,0.753,0.0501999999999999,DAL,NYG,1.5,2020,5,NFC East,NFC East,1,0
0.89,0.6409999999999999,0.0046999999999999,TB,CHI,2.5,2020,5,NFC North,NFC South,0,1
0.86,0.613,0.0016,BUF,TEN,2.0,2020,5,AFC South,AFC East,0,1
0.78,0.557,0.0016,ATL,CAR,0.5,2020,5,NFC South,NFC South,1,0
0.71,0.509,0.0,CLE,IND,2.0,2020,5,AFC South,AFC North,0,0
0.69,0.491,0.0,IND,CLE,2.0,2020,5,AFC North,AFC South,0,1
0.62,0.4429999999999999,0.0,CAR,ATL,0.5,2020,5,NFC South,NFC South,1,1
0.54,0.387,0.0,TEN,BUF,1.5,2020,5,AFC East,AFC South,0,0
0.51,0.359,0.0,CHI,TB,0.5,2020,5,NFC South,NFC North,0,0
0.47,0.247,0.0,NYG,DAL,0.0,2020,5,NFC East,NFC East,1,1
0.44,0.273,0.0,NYJ,ARI,0.0,2020,5,NFC West,AFC East,0,0
0.42,0.293,0.0,JAX,HOU,0.0,2020,5,AFC South,AFC South,1,1
0.42,0.283,0.0,MIN,SEA,1.0,2020,5,NFC West,NFC North,0,1
0.38,0.253,0.0,WAS,LAR,0.0,2020,5,NFC West,NFC East,0,0
0.37,0.254,0.0,LAC,NO,1.5,2020,5,NFC South,AFC West,0,1
0.36,0.24,0.0,PHI,PIT,1.0,2020,5,AFC North,NFC East,0,1
0.36,0.2339999999999999,0.0,MIA,SF,0.5,2020,5,NFC West,AFC East,0,1
0.32,0.2,0.0,LV,KC,1.0,2020,5,AFC West,AFC West,1,1
0.26,0.153,0.0,CIN,BAL,0.0,2020,5,AFC North,AFC North,1,1
1.27,0.792,0.0391,BAL,PHI,3.5,2020,6,NFC East,AFC North,0,1
1.18,0.746,0.1785,IND,CIN,1.0,2020,6,AFC North,AFC South,0,0
1.13,0.6779999999999999,0.0024,KC,BUF,5.0,2020,6,AFC East,AFC West,0,1
1.05,0.7490000000000001,0.1247,NE,DEN,1.5,2020,6,AFC West,AFC East,0,0
1.03,0.629,0.0121999999999999,MIN,ATL,1.0,2020,6,NFC South,NFC North,0,0
1.02,0.636,0.0073,TEN,HOU,1.0,2020,6,AFC South,AFC South,1,0
0.99,0.597,0.0073,DET,JAX,0.5,2020,6,AFC South,NFC North,0,1
0.99,0.596,0.0,GB,TB,3.5,2020,6,NFC South,NFC North,0,1
0.98,0.5920000000000001,0.0098,PIT,CLE,2.0,2020,6,AFC North,AFC North,1,0
0.91,0.758,0.6137,MIA,NYJ,0.5,2020,6,AFC East,AFC East,1,0
0.91,0.542,0.0,CAR,CHI,0.5,2020,6,NFC North,NFC South,0,0
0.89,0.54,0.0,LAR,SF,2.0,2020,6,NFC West,NFC West,1,1
0.86,0.522,0.0,NYG,WAS,0.0,2020,6,NFC East,NFC East,1,0
0.86,0.512,0.0,DAL,ARI,1.0,2020,6,NFC West,NFC East,0,0
0.81,0.488,0.0024,ARI,DAL,1.0,2020,6,NFC East,NFC West,0,1
0.81,0.478,0.0,WAS,NYG,0.0,2020,6,NFC East,NFC East,1,1
0.78,0.46,0.0024,SF,LAR,0.5,2020,6,NFC West,NFC West,1,0
0.77,0.4579999999999999,0.0,CHI,CAR,0.5,2020,6,NFC South,NFC North,0,1
0.76,0.242,0.0,NYJ,MIA,0.0,2020,6,AFC East,AFC East,1,1
0.7,0.408,0.0,CLE,PIT,2.0,2020,6,AFC North,AFC North,1,1
0.69,0.4039999999999999,0.0,TB,GB,2.0,2020,6,NFC North,NFC South,0,0
0.68,0.4029999999999999,0.0,JAX,DET,0.0,2020,6,NFC North,AFC South,0,0
0.65,0.364,0.0,HOU,TEN,0.5,2020,6,AFC South,AFC South,1,1
0.64,0.371,0.0,ATL,MIN,0.5,2020,6,NFC North,NFC South,0,1
0.62,0.251,0.0,DEN,NE,0.0,2020,6,AFC East,AFC West,0,1
0.55,0.322,0.0,BUF,KC,2.0,2020,6,AFC West,AFC East,0,0
0.5,0.254,0.0,CIN,IND,0.0,2020,6,AFC South,AFC North,0,1
0.41,0.208,0.0,PHI,BAL,0.5,2020,6,AFC North,NFC East,0,0
1.12,0.722,0.0199,LAR,CHI,2.0,2020,7,NFC North,NFC West,0,0
1.09,0.743,0.1026,NO,CAR,2.5,2020,7,NFC South,NFC South,1,0
1.07,0.762,0.3248,LAC,JAX,1.5,2020,7,AFC South,AFC West,0,0
1.06,0.735,0.0513,KC,DEN,5.0,2020,7,AFC West,AFC West,1,1
1.01,0.672,0.0513,PHI,NYG,1.0,2020,7,NFC East,NFC East,1,0
1.0,0.6459999999999999,0.0028,TB,LV,2.5,2020,7,AFC West,NFC South,0,1
0.98,0.631,0.0,SEA,ARI,3.0,2020,7,NFC West,NFC West,1,1
0.97,0.634,0.0056999999999999,CLE,CIN,2.0,2020,7,AFC North,AFC North,1,1
0.96,0.8009999999999999,0.433,BUF,NYJ,1.5,2020,7,AFC East,AFC East,1,1
0.94,0.602,0.0028,NE,SF,1.5,2020,7,NFC West,AFC East,0,0
0.88,0.579,0.0056999999999999,GB,HOU,3.5,2020,7,AFC South,NFC North,0,1
0.82,0.526,0.0,ATL,DET,0.5,2020,7,NFC North,NFC South,0,0
0.81,0.516,0.0,TEN,PIT,1.5,2020,7,AFC North,AFC South,0,0
0.79,0.5,0.0,WAS,DAL,0.0,2020,7,NFC East,NFC East,1,0
0.78,0.5,0.0,DAL,WAS,0.5,2020,7,NFC East,NFC East,1,1
0.76,0.484,0.0,PIT,TEN,2.5,2020,7,AFC South,AFC North,0,1
0.75,0.474,0.0,DET,ATL,0.5,2020,7,NFC South,NFC North,0,1
0.69,0.421,0.0,HOU,GB,0.5,2020,7,NFC North,AFC South,0,0
0.62,0.3979999999999999,0.0,SF,NE,0.5,2020,7,AFC East,NFC West,0,1
0.6,0.1989999999999999,0.0,NYJ,BUF,0.0,2020,7,AFC East,AFC East,1,0
0.59,0.366,0.0,CIN,CLE,0.0,2020,7,AFC North,AFC North,1,0
0.58,0.369,0.0,ARI,SEA,1.5,2020,7,NFC West,NFC West,1,0
0.56,0.354,0.0,LV,TB,1.0,2020,7,NFC South,AFC West,0,0
0.56,0.3279999999999999,0.0,NYG,PHI,0.0,2020,7,NFC East,NFC East,1,1
0.51,0.265,0.0,DEN,KC,0.0,2020,7,AFC West,AFC West,1,0
0.49,0.238,0.0,JAX,LAC,0.0,2020,7,AFC West,AFC South,0,1
0.47,0.257,0.0,CAR,NO,0.5,2020,7,NFC South,NFC South,1,1
0.44,0.278,0.0,CHI,LAR,0.5,2020,7,NFC West,NFC North,0,1
1.14,0.921,0.3084,KC,NYJ,5.0,2020,8,AFC East,AFC West,0,0
0.99,0.8420000000000001,0.2276999999999999,TB,NYG,3.0,2020,8,NFC East,NFC South,0,1
0.97,0.7859999999999999,0.4063,PHI,DAL,0.5,2020,8,NFC East,NFC East,1,0
0.92,0.735,0.0317,TEN,CIN,2.0,2020,8,AFC North,AFC South,0,1
0.88,0.6779999999999999,0.0029,NO,CHI,2.5,2020,8,NFC North,NFC South,0,1
0.87,0.695,0.0144,GB,MIN,4.0,2020,8,NFC North,NFC North,1,0
0.85,0.6509999999999999,0.0,BAL,PIT,5.0,2020,8,AFC North,AFC North,1,0
0.85,0.6509999999999999,0.0058,BUF,NE,1.5,2020,8,AFC East,AFC East,1,0
0.82,0.629,0.0,IND,DET,1.5,2020,8,NFC North,AFC South,0,1
0.79,0.613,0.0,LAR,MIA,2.0,2020,8,AFC East,NFC West,0,1
0.79,0.61,0.0,LAC,DEN,2.0,2020,8,AFC West,AFC West,1,1
0.7,0.537,0.0,CAR,ATL,0.5,2020,8,NFC South,NFC South,1,0
0.67,0.513,0.0,CLE,LV,1.5,2020,8,AFC West,AFC North,0,0
0.66,0.507,0.0,SEA,SF,3.0,2020,8,NFC West,NFC West,1,0
0.65,0.493,0.0,SF,SEA,1.0,2020,8,NFC West,NFC West,1,1
0.64,0.487,0.0,LV,CLE,1.0,2020,8,AFC North,AFC West,0,1
0.61,0.4629999999999999,0.0029,ATL,CAR,0.5,2020,8,NFC South,NFC South,1,1
0.51,0.39,0.0,DEN,LAC,0.0,2020,8,AFC West,AFC West,1,0
0.51,0.387,0.0,MIA,LAR,0.5,2020,8,NFC West,AFC East,0,0
0.49,0.371,0.0,DET,IND,1.0,2020,8,AFC South,NFC North,0,0
0.46,0.349,0.0,NE,BUF,1.5,2020,8,AFC East,AFC East,1,1
0.46,0.349,0.0,PIT,BAL,4.0,2020,8,AFC North,AFC North,1,1
0.44,0.305,0.0,MIN,GB,1.5,2020,8,NFC North,NFC North,1,1
0.42,0.322,0.0,CHI,NO,0.5,2020,8,NFC South,NFC North,0,0
0.39,0.265,0.0,CIN,TEN,0.5,2020,8,AFC South,AFC North,0,0
0.33,0.214,0.0,DAL,PHI,0.5,2020,8,NFC East,NFC East,1,1
0.32,0.158,0.0,NYG,TB,0.0,2020,8,NFC South,NFC East,0,0
0.17,0.079,0.0,NYJ,KC,0.0,2020,8,AFC West,AFC East,0,1
1.08,0.7929999999999999,0.1903,KC,CAR,4.0,2020,9,NFC South,AFC West,0,0
1.02,0.856,0.3142,PIT,DAL,3.5,2020,9,NFC East,AFC North,0,1
1.01,0.78,0.2387,NE,NYJ,1.0,2020,9,AFC East,AFC East,1,1
0.98,0.705,0.0393,TEN,CHI,1.5,2020,9,NFC North,AFC South,0,0
0.96,0.72,0.0906,HOU,JAX,0.5,2020,9,AFC South,AFC South,1,1
0.96,0.711,0.0453,GB,SF,4.0,2020,9,NFC West,NFC North,0,1
0.95,0.6920000000000001,0.0513999999999999,ARI,MIA,1.0,2020,9,AFC East,NFC West,0,0
0.93,0.665,0.003,ATL,DEN,0.0,2020,9,AFC West,NFC South,0,0
0.85,0.608,0.003,TB,NO,2.5,2020,9,NFC South,NFC South,1,0
0.85,0.61,0.0151,MIN,DET,2.0,2020,9,NFC North,NFC North,1,0
0.84,0.6,0.006,SEA,BUF,3.5,2020,9,AFC East,NFC West,0,1
0.83,0.596,0.0,WAS,NYG,0.0,2020,9,NFC East,NFC East,1,0
0.75,0.5329999999999999,0.0,IND,BAL,1.5,2020,9,AFC North,AFC South,0,0
0.73,0.52,0.0,LV,LAC,2.0,2020,9,AFC West,AFC West,1,1
0.68,0.48,0.0,LAC,LV,1.5,2020,9,AFC West,AFC West,1,0
0.65,0.467,0.0,BAL,IND,5.0,2020,9,AFC South,AFC North,0,1
0.57,0.4039999999999999,0.0,NYG,WAS,0.0,2020,9,NFC East,NFC East,1,1
0.56,0.4,0.0,BUF,SEA,1.5,2020,9,NFC West,AFC East,0,0
0.56,0.39,0.0,DET,MIN,0.5,2020,9,NFC North,NFC North,1,1
0.55,0.392,0.0,NO,TB,3.0,2020,9,NFC South,NFC South,1,1
0.48,0.335,0.0,DEN,ATL,0.0,2020,9,NFC South,AFC West,0,1
0.45,0.308,0.0,MIA,ARI,1.0,2020,9,NFC West,AFC East,0,1
0.45,0.289,0.0,SF,GB,1.0,2020,9,NFC North,NFC West,0,0
0.45,0.28,0.0,JAX,HOU,0.0,2020,9,AFC South,AFC South,1,0
0.43,0.295,0.0,CHI,TEN,0.5,2020,9,AFC South,NFC North,0,1
0.4,0.22,0.0,NYJ,NE,0.0,2020,9,AFC East,AFC East,1,0
0.38,0.144,0.0,DAL,PIT,0.0,2020,9,AFC North,NFC East,0,0
0.33,0.207,0.0,CAR,KC,0.5,2020,9,AFC West,NFC South,0,1
1.15,0.7879999999999999,0.1153999999999999,TB,DAL,4.5,2021,1,NFC East,NFC South,0,0
1.06,0.713,0.0248,BUF,PIT,4.0,2021,1,AFC North,AFC East,0,0
1.04,0.764,0.3154,LAR,CHI,2.5,2021,1,NFC North,NFC West,0,0
1.04,0.782,0.2292,SF,DET,3.0,2021,1,NFC North,NFC West,0,1
1.01,0.6779999999999999,0.0127,KC,CLE,5.0,2021,1,AFC North,AFC West,0,0
0.94,0.622,0.04,ATL,PHI,0.5,2021,1,NFC East,NFC South,0,0
0.94,0.628,0.0070999999999999,GB,NO,2.0,2021,1,NFC South,NFC North,0,1
0.94,0.622,0.0046999999999999,BAL,LV,3.0,2021,1,AFC West,AFC North,0,1
0.93,0.618,0.0152,NE,MIA,1.5,2021,1,AFC East,AFC East,1,0
0.92,0.615,0.0438999999999999,JAX,HOU,0.5,2021,1,AFC South,AFC South,1,1
0.89,0.595,0.0022,SEA,IND,2.0,2021,1,AFC South,NFC West,0,1
0.89,0.624,0.1417,CAR,NYJ,0.5,2021,1,AFC East,NFC South,0,0
0.87,0.581,0.0184,MIN,CIN,1.0,2021,1,AFC North,NFC North,0,1
0.86,0.57,0.0083,DEN,NYG,2.0,2021,1,NFC East,AFC West,0,1
0.86,0.57,0.0054,TEN,ARI,2.0,2021,1,NFC West,AFC South,0,0
0.84,0.5479999999999999,0.0046999999999999,WAS,LAC,0.5,2021,1,AFC West,NFC East,0,0
0.69,0.452,0.0005,LAC,WAS,1.5,2021,1,NFC East,AFC West,0,1
0.66,0.43,0.0002,ARI,TEN,1.5,2021,1,AFC South,NFC West,0,1
0.66,0.43,0.0005,NYG,DEN,0.5,2021,1,AFC West,NFC East,0,0
0.65,0.419,0.0012,CIN,MIN,0.0,2021,1,NFC North,AFC North,0,0
0.64,0.376,0.0005,NYJ,CAR,0.0,2021,1,NFC South,AFC East,0,1
0.63,0.405,0.0,IND,SEA,2.5,2021,1,NFC West,AFC South,0,0
0.61,0.385,0.0037,HOU,JAX,0.0,2021,1,AFC South,AFC South,1,0
0.59,0.382,0.0002,MIA,NE,2.0,2021,1,AFC East,AFC East,1,1
0.58,0.3779999999999999,0.0007,LV,BAL,0.5,2021,1,AFC North,AFC West,0,0
0.58,0.372,0.0005,NO,GB,1.5,2021,1,NFC North,NFC South,0,0
0.58,0.3779999999999999,0.0,PHI,ATL,0.0,2021,1,NFC South,NFC East,0,1
0.52,0.322,0.0,CLE,KC,3.0,2021,1,AFC West,AFC North,0,1
0.48,0.218,0.0002,DET,SF,0.0,2021,1,NFC West,NFC North,0,0
0.48,0.236,0.0002,CHI,LAR,0.5,2021,1,NFC West,NFC North,0,1
0.46,0.287,0.0,PIT,BUF,1.5,2021,1,AFC East,AFC North,0,1
0.37,0.212,0.0,DAL,TB,2.0,2021,1,NFC South,NFC East,0,1
1.2,0.848,0.067,BUF,NYJ,4.0,2021,10,AFC East,AFC East,1,1
1.1,0.7859999999999999,0.045,TB,WAS,5.0,2021,10,NFC East,NFC South,0,1
1.08,0.787,0.095,IND,JAX,1.5,2021,10,AFC South,AFC South,1,0
1.04,0.767,0.087,DAL,ATL,2.0,2021,10,NFC South,NFC East,0,0
1.02,0.7340000000000001,0.0579999999999999,ARI,CAR,2.5,2021,10,NFC South,NFC West,0,0
0.99,0.772,0.273,BAL,MIA,2.0,2021,10,AFC East,AFC North,0,1
0.9,0.625,0.001,LAR,SF,2.0,2021,10,NFC West,NFC West,1,1
0.88,0.6890000000000001,0.362,PIT,DET,0.0,2021,10,NFC North,AFC North,0,0
0.88,0.616,0.0069999999999999,LAC,MIN,2.5,2021,10,NFC North,AFC West,0,0
0.86,0.603,0.001,GB,SEA,2.0,2021,10,NFC West,NFC North,0,0
0.83,0.579,0.001,TEN,NO,3.0,2021,10,NFC South,AFC South,0,0
0.83,0.574,0.0,KC,LV,2.5,2021,10,AFC West,AFC West,1,1
0.79,0.5479999999999999,0.0,NE,CLE,1.5,2021,10,AFC North,AFC East,0,0
0.72,0.502,0.0,DEN,PHI,1.0,2021,10,NFC East,AFC West,0,0
0.72,0.498,0.0,PHI,DEN,1.0,2021,10,AFC West,NFC East,0,1
0.65,0.452,0.0,CLE,NE,1.5,2021,10,AFC East,AFC North,0,1
0.62,0.426,0.0,LV,KC,0.5,2021,10,AFC West,AFC West,1,0
0.62,0.421,0.001,NO,TEN,1.5,2021,10,AFC South,NFC South,0,1
0.58,0.397,0.0,SEA,GB,2.0,2021,10,NFC North,NFC West,0,1
0.56,0.384,0.0,MIN,LAC,1.5,2021,10,AFC West,NFC North,0,1
0.56,0.311,0.0,DET,PIT,0.0,2021,10,AFC North,NFC North,0,1
0.54,0.375,0.0,SF,LAR,2.0,2021,10,NFC West,NFC West,1,0
0.45,0.228,0.0,MIA,BAL,1.0,2021,10,AFC North,AFC East,0,0
0.42,0.266,0.0,CAR,ARI,0.5,2021,10,NFC West,NFC South,0,1
0.4,0.233,0.0,ATL,DAL,0.5,2021,10,NFC East,NFC South,0,1
0.36,0.213,0.0,JAX,IND,0.5,2021,10,AFC South,AFC South,1,1
0.34,0.214,0.0,WAS,TB,0.0,2021,10,NFC South,NFC East,0,0
0.24,0.152,0.0,NYJ,BUF,0.0,2021,10,AFC East,AFC East,1,0
1.16,0.8220000000000001,0.127,TB,NYG,5.0,2021,11,NFC East,NFC South,0,0
1.1,0.836,0.509,CLE,DET,1.0,2021,11,NFC North,AFC North,0,0
1.06,0.745,0.064,NE,ATL,2.0,2021,11,NFC South,AFC East,0,1
1.05,0.721,0.0,BUF,IND,5.0,2021,11,AFC South,AFC East,0,0
1.02,0.7020000000000001,0.0289999999999999,LAC,PIT,3.0,2021,11,AFC North,AFC West,0,0
1.01,0.718,0.023,SF,JAX,2.5,2021,11,AFC South,NFC West,0,1
0.98,0.6679999999999999,0.0,SEA,ARI,2.5,2021,11,NFC West,NFC West,1,0
0.93,0.7879999999999999,0.22,TEN,HOU,3.0,2021,11,AFC South,AFC South,1,0
0.92,0.631,0.006,MIA,NYJ,1.0,2021,11,AFC East,AFC East,1,1
0.91,0.622,0.006,CAR,WAS,1.0,2021,11,NFC East,NFC South,0,0
0.87,0.59,0.006,PHI,NO,2.0,2021,11,NFC South,NFC East,0,0
0.82,0.562,0.0,KC,DAL,3.5,2021,11,NFC East,AFC West,0,0
0.81,0.55,0.0,CIN,LV,0.5,2021,11,AFC West,AFC North,0,1
0.78,0.5329999999999999,0.0,GB,MIN,3.0,2021,11,NFC North,NFC North,1,1
0.76,0.528,0.006,BAL,CHI,1.5,2021,11,NFC North,AFC North,0,1
0.71,0.472,0.0,CHI,BAL,0.5,2021,11,AFC North,NFC North,0,0
0.69,0.467,0.0,MIN,GB,2.0,2021,11,NFC North,NFC North,1,0
0.66,0.45,0.0,LV,CIN,0.5,2021,11,AFC North,AFC West,0,0
0.64,0.4379999999999999,0.0,DAL,KC,3.5,2021,11,AFC West,NFC East,0,1
0.6,0.41,0.0,NO,PHI,2.0,2021,11,NFC East,NFC South,0,1
0.56,0.3779999999999999,0.0,WAS,CAR,0.0,2021,11,NFC South,NFC East,0,1
0.55,0.369,0.0,NYJ,MIA,0.0,2021,11,AFC East,AFC East,1,0
0.54,0.212,0.0,HOU,TEN,0.0,2021,11,AFC South,AFC South,1,1
0.49,0.332,0.0,ARI,SEA,2.5,2021,11,NFC West,NFC West,1,1
0.45,0.282,0.0,JAX,SF,0.5,2021,11,NFC West,AFC South,0,0
0.45,0.298,0.0,PIT,LAC,0.0,2021,11,AFC West,AFC North,0,1
0.41,0.2789999999999999,0.0,IND,BUF,2.0,2021,11,AFC East,AFC South,0,1
0.41,0.255,0.0,ATL,NE,0.5,2021,11,AFC East,NFC South,0,0
0.37,0.1639999999999999,0.0,DET,CLE,0.0,2021,11,AFC North,NFC North,0,1
0.31,0.178,0.0,NYG,TB,0.0,2021,11,NFC South,NFC East,0,1
1.17,0.7040000000000001,0.1119999999999999,BUF,NO,3.5,2021,12,NFC South,AFC East,0,1
1.11,0.736,0.597,DAL,LV,2.0,2021,12,AFC West,NFC East,0,0
0.86,0.544,0.157,CHI,DET,0.5,2021,12,NFC North,NFC North,1,1
0.84,0.456,0.104,DET,CHI,0.0,2021,12,NFC North,NFC North,1,0
0.59,0.264,0.03,LV,DAL,0.5,2021,12,NFC East,AFC West,0,1
0.53,0.296,0.0,NO,BUF,1.5,2021,12,AFC East,NFC South,0,0
1.16,0.7290000000000001,0.3,NE,TEN,1.5,2021,13,AFC South,AFC East,0,0
1.08,0.642,0.125,SF,MIN,2.5,2021,13,NFC North,NFC West,0,0
1.05,0.624,0.125,CIN,PIT,0.5,2021,13,AFC North,AFC North,1,0
0.99,0.65,0.15,PHI,NYG,2.0,2021,13,NFC East,NFC East,1,1
0.97,0.5820000000000001,0.0,TB,IND,5.0,2021,13,AFC South,NFC South,0,1
0.95,0.5920000000000001,0.1,BAL,CLE,2.0,2021,13,AFC North,AFC North,1,0
0.94,0.5760000000000001,0.025,HOU,NYJ,0.0,2021,13,AFC East,AFC South,0,0
0.92,0.57,0.025,LAC,DEN,2.5,2021,13,AFC West,AFC West,1,1
0.92,0.539,0.0,LAR,GB,2.5,2021,13,NFC North,NFC West,0,1
0.87,0.523,0.05,CAR,MIA,0.5,2021,13,AFC East,NFC South,0,1
0.86,0.522,0.025,ATL,JAX,0.5,2021,13,AFC South,NFC South,0,1
0.86,0.487,0.0,WAS,SEA,0.0,2021,13,NFC West,NFC East,0,0
0.85,0.513,0.05,SEA,WAS,2.0,2021,13,NFC East,NFC West,0,1
0.84,0.478,0.0,JAX,ATL,0.5,2021,13,NFC South,AFC South,0,0
0.83,0.477,0.025,MIA,CAR,1.0,2021,13,NFC South,AFC East,0,0
0.78,0.461,0.0,GB,LAR,3.0,2021,13,NFC West,NFC North,0,0
0.78,0.43,0.0,DEN,LAC,1.0,2021,13,AFC West,AFC West,1,0
0.76,0.424,0.0,NYJ,HOU,0.0,2021,13,AFC South,AFC East,0,1
0.75,0.408,0.0,CLE,BAL,1.0,2021,13,AFC North,AFC North,1,1
0.73,0.418,0.0,IND,TB,2.5,2021,13,NFC South,AFC South,0,0
0.71,0.35,0.0,NYG,PHI,0.0,2021,13,NFC East,NFC East,1,0
0.65,0.376,0.0,PIT,CIN,0.0,2021,13,AFC North,AFC North,1,1
0.62,0.358,0.0,MIN,SF,2.0,2021,13,NFC West,NFC North,0,1
0.54,0.271,0.0,TEN,NE,2.5,2021,13,AFC East,AFC South,0,1
1.17,0.861,0.0,LAR,JAX,1.5,2021,14,AFC South,NFC West,0,0
